Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Aruba,ABW,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,54.6320236,54.95380408,55.23082386,55.61871179,56.13165796,56.70390101,57.27708729,57.64657021,57.79717113,57.92437174,58.07499512,58.30590077,58.88904925,59.78413574,60.69076212,61.58766701,62.4895954,63.32851035,64.03781656,64.63907199,65.09534325,65.31493913,65.48154887,65.71996862,65.98602478,66.36192989,66.83511077,67.32036967,67.68770717,67.77094179,67.39015722,66.56147153,66.20979041,66.47953118,66.75923657,67.36281251,68.17932774,68.79658227,69.25468804,69.60443614,69.77462075,69.81783954,69.89226131,69.99133355,70.08126592,70.10824578,70.04324239,69.9343597,69.80302542,69.66892366,69.70937985,69.90671512,69.99611845,69.91102552,69.67858957,69.32509154,68.89208537,68.43484141,67.97344784,67.52166685,67.16868171,66.96991391,66.75511681,66.44570751,66.09880119
Africa Eastern and Southern,AFE,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,53.02180769,52.93316922,52.8423459,52.72985087,52.6127492,52.47967366,52.32867163,52.18542877,52.05327855,51.92956441,51.79934728,51.65945956,51.51962721,51.40062415,51.32747826,51.28353269,51.23001053,51.18604153,51.18440207,51.18236729,51.19376525,51.21853098,51.24452736,51.31349854,51.40231989,51.48494083,51.55795062,51.61537024,51.67355698,51.73369297,51.79564475,51.86210843,51.87524147,51.90934208,51.99748132,52.00938287,51.89340524,51.81799035,51.90675632,52.04956928,52.18753381,52.33148319,52.47137584,52.59933251,52.71596462,52.81551861,52.90620547,53.00158271,53.10690579,53.21755746,53.35128188,53.5174465,53.68956805,53.86597893,54.04839158,54.25563843,54.45704298,54.67509236,54.93140182,55.17622536,55.42609775,55.67756102,55.9149333,56.14496466,56.36737481
Afghanistan,AFG,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,55.22988351,55.16205465,55.09435152,54.98899108,54.83266896,54.61609065,54.36295798,54.11433644,53.8705242,53.63167964,53.40235086,53.18403213,52.97293351,52.76745981,52.56413912,52.36501165,52.17182417,51.98178604,51.7959781,51.61366789,51.42663305,51.24007536,51.06810083,50.92897204,50.80470927,50.68365286,50.56280505,50.44830579,50.33463076,50.21816833,50.08401366,49.91668763,49.71884687,49.50575085,49.26188993,48.9973667,48.72725263,48.44670318,48.1710395,47.91887452,47.71309974,47.56936236,47.49812858,47.49295618,47.55443859,47.68068411,47.87228312,48.13773155,48.4650217,48.82825103,49.22605514,49.63806203,50.05678331,50.48884498,50.93039807,51.38396791,51.84305395,52.27565844,52.67327234,53.04701451,53.40516193,53.73932523,54.0650162,54.39625861,54.71152442
Africa Western and Central,AFW,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,55.17713563,55.06970814,54.93350647,54.75272768,54.53774921,54.34927432,54.19058173,54.03470539,53.87771909,53.71656326,53.56318841,53.41013546,53.25036922,53.09158845,52.92740003,52.75407341,52.56851972,52.37864188,52.18939246,52.00992367,51.84296441,51.69045323,51.56304662,51.43290668,51.29514749,51.18433412,51.11060397,51.07218898,51.07221714,51.10726761,51.16894719,51.25832138,51.381596,51.52787326,51.68013177,51.83329346,51.97521518,52.10745081,52.25825508,52.3992277,52.49750374,52.55816474,52.60416547,52.649228,52.68694433,52.70577866,52.70158056,52.69165641,52.71172087,52.75612138,52.79174356,52.82720364,52.86045256,52.90768833,52.97468153,53.06269852,53.20526894,53.39938921,53.63024263,53.89725543,54.21383814,54.56477139,54.92923285,55.31879638,55.71693365
Angola,AGO,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,55.5745659,55.19718778,54.78690576,54.32528031,53.78060817,53.22600712,52.71941837,52.26521396,51.87468672,51.54512261,51.17596947,50.91434764,50.98151399,51.23056516,51.50395404,51.76971645,52.0186929,52.27811744,52.54026686,52.7686921,52.97386982,53.14042605,53.26413647,53.3675475,53.43028941,53.4172325,53.3112276,53.13645665,52.94391339,52.75072113,52.56051131,52.35334619,52.15280054,51.96388172,51.78680346,51.67331179,51.61853389,51.60483718,51.62468493,51.65644901,51.70763196,51.77521685,51.84866577,51.92642693,52.00105933,52.06388957,52.11138701,52.14424492,52.15294002,52.14211511,52.129928,52.12218098,52.11064338,52.09698069,52.06962012,52.03441512,52.03238384,52.06393194,52.10972052,52.17925549,52.2548407,52.34604551,52.4687843,52.6162856,52.79661606
Albania,ALB,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,53.33833115,52.90516988,52.72338139,52.65937581,52.67224074,52.69942333,52.71864309,52.7476319,52.82194233,52.99382897,53.27198844,53.6244425,54.03824939,54.50632544,55.0286509,55.60633014,56.23246421,56.88524836,57.48972899,58.04820234,58.57143849,59.04041803,59.49431093,59.94797135,60.37397494,60.69044721,60.97452044,61.32326253,61.59528142,61.76539283,61.92623718,62.08151916,62.19400999,62.2697768,62.34264934,62.38977133,62.43729353,62.54194908,62.69488876,62.86767952,63.05260573,63.35722036,63.80125408,64.26158663,64.71605849,65.17054222,65.61109948,66.03326555,66.45578639,66.90632165,67.38389089,67.84541598,68.19860041,68.38567224,68.4466928,68.46329579,68.47351319,68.41125268,68.25521183,68.00760968,67.71101969,67.3665632,67.0011897,66.65602643,66.23646085
Andorra,AND,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,65.9831756,66.04911257,66.0653076,66.07217793,66.11039292,66.16180138,65.89634897,65.28067184,64.81718677,64.67798437,64.81866193,65.18200686,65.69020342,66.28471231,66.93009816,67.55180298,68.10483939,68.61272792,69.10493356,69.61610214,70.23461845,70.98483931,71.27010538,71.19895475,71.36706645,71.78404774,72.08781117,72.14341175,72.3460013,72.34366203,72.52029583,73.40186174,73.94164403,74.09043495,74.09324821,73.75688447,73.42929482,73.25327089,73.10783631,72.78095253,72.32777651,71.94770091,71.65594082,72.00495067,72.81802893,73.13695985,73.21182879,73.3437147,73.2910551,72.97885276,72.2883057,71.81453531,71.80219694,71.7050011,71.66551392,71.75556125,71.88822621,72.04744958,72.29384529,72.45777949,72.38304471,72.36149483,72.37500784,72.3341496,72.16903127
Arab World,ARB,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,53.09974418,52.85003073,52.62517784,52.40455021,52.20688423,52.03751932,51.90019724,51.80646875,51.76432204,51.75779224,51.7552207,51.75106701,51.74279185,51.72836349,51.74315358,51.75016258,51.72853902,51.78593059,51.93166777,52.08301699,52.22870357,52.36718722,52.50492776,52.65182332,52.79331343,52.934944,53.0790405,53.23545457,53.41241755,53.60829541,53.82636148,54.13692878,54.44509722,54.75078997,55.07578396,55.43042069,55.80809958,56.21416922,56.66452253,57.14430598,57.61916372,58.09061133,58.5676946,59.04441336,59.51583309,59.97110896,60.44589797,60.93681815,61.31628086,61.57882589,61.73150181,61.86809532,61.95435063,61.94758352,61.89650649,61.89938155,61.92068949,61.90624438,61.87584545,61.92061271,62.03240243,62.14454643,62.43396331,62.7518238,63.03305552
United Arab Emirates,ARE,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,59.8784021,61.01826957,62.02654782,62.85748073,63.54357137,64.20900819,65.00734295,66.12687813,67.15852078,67.89827255,68.72185122,69.53439574,70.20208382,70.67462423,70.94757267,71.06076836,71.31510751,71.60518946,71.65564444,71.53930794,71.38594073,70.85843134,70.03485172,69.31957317,68.67566976,68.11493336,67.7299996,67.71583694,68.08423535,68.67984225,69.39185131,70.14395561,70.8885295,71.60895795,72.32113558,73.06199525,73.80953848,74.67909794,75.7395644,76.83366764,77.88798324,78.84437078,79.63004944,80.18361309,80.51310836,80.74228422,80.97087301,81.30513192,81.58452667,81.66117693,81.70407054,81.74915672,81.73197476,81.6884574,81.66109002,81.66420989,81.70376219,81.75735492,81.78974887,81.82260375,81.85634074,81.87240475,81.88465797,81.96542575,82.12206006
Argentina,ARG,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,63.50833376,63.47493153,63.47374807,63.49374851,63.5190153,63.56169898,63.62992964,63.69767279,63.74782657,63.77182484,63.75899576,63.70540047,63.61719216,63.48898158,63.32592413,63.1366995,62.90590509,62.63587986,62.34887145,62.0650737,61.7909122,61.52822592,61.30736302,61.15129454,61.04667223,60.97219613,60.91981593,60.89221439,60.88584672,60.90494924,60.95108329,61.00944668,61.08723404,61.19023944,61.30178604,61.42535562,61.56629005,61.71604033,61.87135271,62.0256237,62.1736106,62.32778409,62.4960869,62.68972573,62.8966886,63.09604717,63.29099671,63.49003042,63.66418409,63.8016799,63.91731068,63.99018894,64.0423079,64.08255625,64.09202811,64.08108497,64.0835959,64.11374373,64.16305684,64.27016948,64.50747455,64.84263212,65.21517377,65.60632092,65.98005316
